latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
1.49693,127.62961,311.08,1.08,1.04,2026-09-02,00:18,T,63,6.1NRT,297,8.44,D
1.07526,128.30403,310.76,1.17,1.08,2026-09-02,00:18,T,45,6.1NRT,295.07,7.32,D
1.33073,128.2796,309.34,1.16,1.07,2026-09-02,00:18,T,60,6.1NRT,296.93,5.93,D
1.39666,127.81651,309.49,1.1,1.05,2026-09-02,00:18,T,60,6.1NRT,296.76,5.39,D
1.49559,127.63894,318.34,1.08,1.04,2026-09-02,00:18,T,75,6.1NRT,298.2,15.05,D
-2.84565,128.94806,310.35,1.45,1.19,2026-09-02,00:20,T,0,6.1NRT,296.25,6.97,D
-3.00136,130.15488,312.23,1.79,1.31,2026-09-02,00:20,T,0,6.1NRT,295.44,14.33,D
-1.5646,127.42857,312.86,1.13,1.06,2026-09-02,00:20,T,19,6.1NRT,296.13,6.61,D
0.48432,127.99445,312.48,1.15,1.07,2026-09-02,00:20,T,51,6.1NRT,296.55,10.46,D
-4.39716,122.42828,313,1.16,1.07,2026-09-02,00:20,T,67,6.1NRT,298.38,7.98,D
1.4389,124.93754,313.52,1.03,1.01,2026-09-02,00:20,T,58,6.1NRT,297.78,6.41,D
1.44019,124.9285,320.41,1.03,1.01,2026-09-02,00:20,T,73,6.1NRT,299.23,12.77,D
0.50808,127.89619,315.24,1.13,1.06,2026-09-02,00:20,T,72,6.1NRT,299.69,9.94,D
-3.13583,129.96584,311.73,1.74,1.29,2026-09-02,00:20,T,68,6.1NRT,295.65,13.3,D
-3.17608,130.44379,310.42,1.9,1.35,2026-09-02,00:20,T,40,6.1NRT,293.03,14.18,D
-3.16984,130.45126,307.44,1.9,1.35,2026-09-02,00:20,T,41,6.1NRT,293.17,9.53,D
-3.16749,130.43448,312.77,1.9,1.35,2026-09-02,00:20,T,68,6.1NRT,293.91,19.26,D
-8.27274,123.51793,322.76,1.01,1,2026-09-02,00:20,T,79,6.1NRT,303.61,15.9,D
-8.27148,123.50928,372.19,1.01,1,2026-09-02,00:20,T,100,6.1NRT,310.2,120.83,D
-5.49286,119.49827,315.25,1.75,1.3,2026-09-02,00:20,T,63,6.1NRT,301.89,12.55,D
-5.49518,119.50386,320.97,1.75,1.3,2026-09-02,00:20,T,73,6.1NRT,302.09,22.87,D
-3.18404,126.89991,323.44,1.1,1.05,2026-09-02,00:20,T,73,6.1NRT,296.22,16.73,D
-2.57415,121.38121,315.44,1.42,1.18,2026-09-02,00:20,T,73,6.1NRT,295.3,15.26,D
-2.5827,121.36736,314.84,1.42,1.18,2026-09-02,00:20,T,68,6.1NRT,293.76,14.18,D
-2.58448,121.3795,342.78,1.42,1.18,2026-09-02,00:20,T,93,6.1NRT,295.32,72.83,D
-3.41569,126.25397,314.06,1.05,1.02,2026-09-02,00:20,T,72,6.1NRT,295.19,10.2,D
-3.44851,126.28947,308.41,1.05,1.02,2026-09-02,00:20,T,33,6.1NRT,294.62,6.72,D
-3.54475,126.18739,310.72,1.05,1.02,2026-09-02,00:20,T,58,6.1NRT,298.41,4.7,D
-3.86953,122.40468,317.65,1.18,1.08,2026-09-02,00:20,T,75,6.1NRT,299.34,12.94,D
-16.04062,127.16625,319.75,1.66,1.27,2026-09-02,00:22,T,62,6.1NRT,302.4,21.09,D
-16.03926,127.15749,315.09,1.66,1.27,2026-09-02,00:22,T,41,6.1NRT,303.44,11.74,D
-15.99621,127.17817,316.8,1.66,1.27,2026-09-02,00:22,T,27,6.1NRT,302.01,15.39,D
-15.99438,127.16281,324.51,1.66,1.27,2026-09-02,00:22,T,74,6.1NRT,303.36,29.56,D
-15.98319,127.16433,347.62,1.66,1.27,2026-09-02,00:22,T,94,6.1NRT,305.49,103.07,D
-14.63225,132.00098,321.5,3.78,1.82,2026-09-02,00:22,T,76,6.1NRT,295.73,92.67,D
-12.40695,132.96483,329.01,4.19,1.9,2026-09-02,00:22,T,83,6.1NRT,294.51,173.93,D
-12.3902,132.96666,317.78,4.19,1.9,2026-09-02,00:22,T,72,6.1NRT,294.18,78.28,D
-12.41873,132.96841,311.24,4.19,1.9,2026-09-02,00:22,T,16,6.1NRT,295.04,40.95,D
-12.40198,132.97021,328.69,4.19,1.9,2026-09-02,00:22,T,77,6.1NRT,294.28,169.34,D
-12.38523,132.97197,317.72,4.19,1.9,2026-09-02,00:22,T,64,6.1NRT,294.83,78.2,D
-12.33499,132.97733,311.8,4.19,1.9,2026-09-02,00:22,T,45,6.1NRT,296.06,38.58,D
-16.04113,127.17273,316.2,1.66,1.27,2026-09-02,00:22,T,60,6.1NRT,301.35,14.99,D
-18.3381,127.27305,344.06,1.82,1.32,2026-09-02,00:24,T,92,6.1NRT,303.44,102.67,D
-18.72624,130.12558,323.91,3.06,1.66,2026-09-02,00:24,T,78,6.1NRT,297.79,87.12,D
-18.72362,130.09744,327.92,3.05,1.66,2026-09-02,00:24,T,82,6.1NRT,297.79,108.93,D
-18.7115,130.12718,364.63,3.06,1.66,2026-09-02,00:24,T,100,6.1NRT,303.44,476.79,D
-18.70891,130.099,340.69,3.05,1.66,2026-09-02,00:24,T,90,6.1NRT,301.18,194.42,D
-18.72573,130.13255,319.99,3.06,1.66,2026-09-02,00:24,T,73,6.1NRT,297.83,66.17,D
-18.72291,130.1044,339.33,3.05,1.66,2026-09-02,00:24,T,90,6.1NRT,298.21,189.41,D
-18.71099,130.13412,362.68,3.06,1.66,2026-09-02,00:24,T,100,6.1NRT,302.2,444.73,D
-18.7082,130.10593,353.91,3.05,1.66,2026-09-02,00:24,T,97,6.1NRT,302.74,326.12,D
-18.70461,130.22151,326,3.11,1.67,2026-09-02,00:24,T,80,6.1NRT,299.43,95.24,D
-18.70182,130.19279,346.99,3.09,1.67,2026-09-02,00:24,T,94,6.1NRT,299.89,254.44,D
-18.69626,130.13576,327.21,3.06,1.66,2026-09-02,00:24,T,81,6.1NRT,300.93,92.34,D
-18.39445,127.27766,315.42,1.83,1.32,2026-09-02,00:24,T,63,6.1NRT,302.47,18,D
-18.68979,130.22319,325.39,3.11,1.67,2026-09-02,00:24,T,79,6.1NRT,299.4,88.82,D
-18.68702,130.19441,327.37,3.09,1.67,2026-09-02,00:24,T,81,6.1NRT,300.55,98.04,D
-18.37514,127.21191,339.36,1.81,1.32,2026-09-02,00:24,T,89,6.1NRT,301.99,84.02,D
-18.37326,127.19527,320.51,1.8,1.32,2026-09-02,00:24,T,64,6.1NRT,301.1,26.79,D
-18.67493,130.22455,315.06,3.11,1.67,2026-09-02,00:24,T,48,6.1NRT,299.94,37.7,D
-18.36533,127.23,386.54,1.81,1.32,2026-09-02,00:24,T,100,6.1NRT,308.19,414.26,D
-18.36346,127.21332,377.22,1.81,1.32,2026-09-02,00:24,T,100,6.1NRT,307.05,319.89,D
-18.33392,127.26772,341.21,1.82,1.32,2026-09-02,00:24,T,90,6.1NRT,304.3,89.1,D
-18.33615,127.25632,319.93,1.82,1.32,2026-09-02,00:24,T,54,6.1NRT,303.07,22.32,D
-18.33225,127.22294,317.74,1.81,1.32,2026-09-02,00:24,T,47,6.1NRT,302.57,19.01,D
-18.33224,127.32516,316.09,1.84,1.33,2026-09-02,00:24,T,65,6.1NRT,302.21,17.4,D
-18.33028,127.30821,315.57,1.83,1.33,2026-09-02,00:24,T,61,6.1NRT,302.46,15.76,D
-18.3089,127.2257,329.15,1.81,1.32,2026-09-02,00:24,T,82,6.1NRT,302.91,48.88,D
-18.30271,127.38078,316.25,1.86,1.33,2026-09-02,00:24,T,65,6.1NRT,304.41,16.1,D
-18.26482,127.42656,313.37,1.87,1.34,2026-09-02,00:24,T,58,6.1NRT,302.2,13.62,D
-18.46994,130.28728,313.42,3.13,1.68,2026-09-02,00:24,T,47,6.1NRT,300.57,33.99,D
-18.48501,130.29092,313.62,3.13,1.68,2026-09-02,00:24,T,34,6.1NRT,300.09,32.19,D
-18.47014,130.29247,315.32,3.13,1.68,2026-09-02,00:24,T,60,6.1NRT,300.25,41.89,D
-18.24504,130.45325,310.21,3.19,1.69,2026-09-02,00:24,T,43,6.1NRT,299.51,23.8,D
-33.80065,122.69069,328.62,1.44,1.19,2026-09-02,00:26,T,86,6.1NRT,286.15,49.76,D
-33.8022,122.70609,318.76,1.44,1.19,2026-09-02,00:26,T,79,6.1NRT,285.42,31.77,D
-33.79628,122.69788,345.83,1.44,1.19,2026-09-02,00:26,T,94,6.1NRT,287.2,95.84,D
-32.79361,-60.40062,300.96,1.02,1.01,2026-09-02,00:58,T,36,6.1NRT,286.79,5.99,N
-27.04753,-61.37771,308.75,1.01,1,2026-09-02,01:00,T,75,6.1NRT,284.69,11.73,N
-25.87333,-60.73698,309.76,1,1,2026-09-02,01:00,T,78,6.1NRT,285.66,11.89,N
-27.04885,-61.38767,311.83,1.01,1,2026-09-02,01:00,T,83,6.1NRT,284.41,13.96,N
-22.90287,-61.23944,306.85,1.01,1,2026-09-02,01:02,T,69,6.1NRT,289.93,8.62,N
-22.50187,-59.10191,301.02,1.18,1.08,2026-09-02,01:02,T,37,6.1NRT,290.2,6.41,N
-22.56228,-59.91359,306.41,1.09,1.04,2026-09-02,01:02,T,68,6.1NRT,289.58,9.42,N
-22.55311,-59.91522,343.64,1.09,1.04,2026-09-02,01:02,T,100,6.1NRT,292.82,57.72,N
-21.94215,-61.89,328.13,1,1,2026-09-02,01:02,T,100,6.1NRT,290.6,28.08,N
-21.94346,-61.89946,305.11,1,1,2026-09-02,01:02,T,63,6.1NRT,289.19,7.57,N
-21.76396,-61.78995,303.49,1,1,2026-09-02,01:02,T,55,6.1NRT,291.46,6.07,N
-21.2463,-58.63067,319.13,1.31,1.13,2026-09-02,01:02,T,98,6.1NRT,291.54,26.13,N
-21.11815,-59.39471,301.55,1.19,1.09,2026-09-02,01:02,T,42,6.1NRT,289.8,7.44,N
-21.30361,-61.21526,305.59,1.02,1.01,2026-09-02,01:02,T,65,6.1NRT,290.99,7.53,N
-21.30498,-61.22486,310.26,1.02,1.01,2026-09-02,01:02,T,80,6.1NRT,290.65,10.71,N
-21.42058,-63.41806,318.72,1.04,1.02,2026-09-02,01:02,T,97,6.1NRT,289.71,18.74,N
-20.79532,-60.69678,302.11,1.06,1.03,2026-09-02,01:02,T,47,6.1NRT,289.36,6.66,N
-19.86703,-61.55078,314.41,1.02,1.01,2026-09-02,01:02,T,89,6.1NRT,289.53,14.54,N
-23.60544,-60.67465,307.14,1.02,1.01,2026-09-02,01:02,T,70,6.1NRT,290.55,8.7,N
-23.29169,-58.77085,300.17,1.2,1.09,2026-09-02,01:02,T,20,6.1NRT,289.26,6.32,N
-23.41933,-61.24973,301.31,1,1,2026-09-02,01:02,T,40,6.1NRT,289.94,5.55,N
-23.25452,-60.28943,306.46,1.05,1.02,2026-09-02,01:02,T,68,6.1NRT,289.77,9.01,N
-23.60404,-60.66489,325.84,1.02,1.01,2026-09-02,01:02,T,100,6.1NRT,292.51,25.65,N
-23.33726,-58.2198,316.08,1.29,1.13,2026-09-02,01:02,T,92,6.1NRT,289.48,22.52,N
-22.54402,-58.2687,305.86,1.31,1.14,2026-09-02,01:02,T,66,6.1NRT,289.45,11.86,N
-22.67329,-58.95327,329.29,1.2,1.09,2026-09-02,01:02,T,100,6.1NRT,292.96,36.84,N
-22.78065,-59.58751,319.81,1.12,1.05,2026-09-02,01:02,T,99,6.1NRT,290.67,22.62,N
-22.68287,-58.95148,317.21,1.2,1.09,2026-09-02,01:02,T,95,6.1NRT,290.97,20.09,N
-22.78992,-59.58583,310.41,1.12,1.05,2026-09-02,01:02,T,80,6.1NRT,289.68,13.37,N
-22.69244,-58.9497,328.82,1.2,1.09,2026-09-02,01:02,T,100,6.1NRT,291.99,36.55,N
-22.69067,-58.93832,309.14,1.2,1.09,2026-09-02,01:02,T,77,6.1NRT,290.48,12.41,N
-23.229,-60.30416,317.81,1.04,1.02,2026-09-02,01:02,T,96,6.1NRT,289.43,18.12,N
-23.22754,-60.29419,338.4,1.05,1.02,2026-09-02,01:02,T,100,6.1NRT,292.41,44.95,N
-23.25598,-60.2994,318.59,1.04,1.02,2026-09-02,01:02,T,97,6.1NRT,290.52,19.09,N
-23.23653,-60.2926,306.46,1.05,1.02,2026-09-02,01:02,T,68,6.1NRT,289.84,8.75,N
-22.91171,-61.23796,302.16,1.01,1,2026-09-02,01:02,T,44,6.1NRT,289.15,5.65,N
-8.76374,-62.58246,312.9,1.15,1.07,2026-09-02,01:05,T,69,6.1NRT,295.05,13.24,N
-8.76519,-62.59267,313.7,1.15,1.07,2026-09-02,01:05,T,62,6.1NRT,294.38,13.84,N
-8.75438,-62.58391,332.22,1.15,1.07,2026-09-02,01:05,T,100,6.1NRT,296.31,36.64,N
-8.75583,-62.59408,331.24,1.15,1.07,2026-09-02,01:05,T,100,6.1NRT,296.49,34.75,N
-8.10243,-58.26966,306.66,2.38,1.49,2026-09-02,01:05,T,69,6.1NRT,294.61,19.04,N
-9.0891,-65.37232,317.14,1.01,1,2026-09-02,01:05,T,94,6.1NRT,297.38,13.08,N
-9.09031,-65.38126,336.92,1.01,1,2026-09-02,01:05,T,100,6.1NRT,298.81,37.02,N
-9.09721,-65.49902,307.17,1.02,1.01,2026-09-02,01:05,T,64,6.1NRT,295.74,5.41,N
-9.03723,-65.40411,322.17,1.01,1.01,2026-09-02,01:05,T,100,6.1NRT,297.67,17.27,N
-9.03204,-65.4322,307.9,1.01,1.01,2026-09-02,01:05,T,53,6.1NRT,296.8,4.86,N
-9.02563,-65.45136,316.49,1.01,1.01,2026-09-02,01:05,T,92,6.1NRT,297.85,11.08,N
-9.01072,-65.40784,315.04,1.01,1.01,2026-09-02,01:05,T,89,6.1NRT,298.12,10.21,N
-9.01193,-65.41679,312.62,1.01,1.01,2026-09-02,01:05,T,49,6.1NRT,297.49,7.67,N
-9.01678,-65.45261,327.41,1.01,1.01,2026-09-02,01:05,T,100,6.1NRT,298.31,22.17,N
-9.018,-65.46157,311.61,1.01,1.01,2026-09-02,01:05,T,80,6.1NRT,297.24,7.44,N
-9.00309,-65.41805,313.66,1.01,1.01,2026-09-02,01:05,T,85,6.1NRT,297.37,8.97,N
-9.00551,-65.43594,309.41,1.01,1.01,2026-09-02,01:05,T,72,6.1NRT,297.87,5.75,N
-8.56271,-63.1831,339.62,1.08,1.04,2026-09-02,01:05,T,100,6.1NRT,296.1,45.77,N
-8.56406,-63.19267,363.29,1.08,1.04,2026-09-02,01:05,T,100,6.1NRT,298.33,104.07,N
-8.55358,-63.18444,305.78,1.08,1.04,2026-09-02,01:05,T,20,6.1NRT,294.31,5.12,N
-8.55493,-63.19401,311.29,1.08,1.04,2026-09-02,01:05,T,80,6.1NRT,295.59,8.58,N
-8.45291,-62.67822,306.55,1.14,1.07,2026-09-02,01:05,T,64,6.1NRT,295.63,5.34,N
-8.40376,-62.71196,307.94,1.14,1.06,2026-09-02,01:05,T,68,6.1NRT,295.87,6.08,N
-8.21676,-61.48252,302.83,1.35,1.15,2026-09-02,01:05,T,43,6.1NRT,291.3,5.3,N
-7.61926,-57.61589,308.73,2.74,1.58,2026-09-02,01:05,T,75,6.1NRT,292.47,29.58,N
