latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
21.41844,-157.9709,346.69,0.42,0.38,2026-07-29,00:03,N,nominal,2.0NRT,297.45,3.36,D
67.5437,83.20544,355.27,0.56,0.69,2026-07-29,00:24,N,nominal,2.0NRT,286.8,16.29,D
67.27547,83.20321,330.57,0.59,0.7,2026-07-29,00:24,N,nominal,2.0NRT,287.73,6.33,D
67.27325,83.20804,341.37,0.59,0.7,2026-07-29,00:24,N,nominal,2.0NRT,288.17,6.1,D
67.1941,81.98801,325.37,0.58,0.69,2026-07-29,00:24,N,nominal,2.0NRT,284.36,2.25,D
67.54848,83.19972,357.06,0.56,0.69,2026-07-29,00:24,N,low,2.0NRT,287.44,16.29,D
67.54638,83.22095,351.49,0.56,0.69,2026-07-29,00:24,N,nominal,2.0NRT,287.84,20.63,D
67.55119,83.21518,367,0.56,0.69,2026-07-29,00:24,N,high,2.0NRT,291.47,20.63,D
66.56221,77.17822,329.58,0.55,0.68,2026-07-29,00:26,N,nominal,2.0NRT,286.36,4.2,D
66.66449,77.31615,325.42,0.54,0.68,2026-07-29,00:26,N,nominal,2.0NRT,285.19,3.41,D
65.17364,69.87057,332.66,0.51,0.66,2026-07-29,00:26,N,nominal,2.0NRT,288.66,9.27,D
65.18014,69.87498,327.03,0.51,0.66,2026-07-29,00:26,N,nominal,2.0NRT,288.74,12.15,D
65.19152,69.87284,334.43,0.51,0.66,2026-07-29,00:26,N,nominal,2.0NRT,288.54,4.79,D
64.95863,76.62768,357.18,0.67,0.74,2026-07-29,00:26,N,low,2.0NRT,288.58,15.97,D
64.95329,76.63534,345.8,0.67,0.74,2026-07-29,00:26,N,nominal,2.0NRT,286.27,15.97,D
64.84955,77.26142,330.27,0.69,0.74,2026-07-29,00:26,N,nominal,2.0NRT,286.06,3.77,D
65.82705,76.86243,351.73,0.6,0.71,2026-07-29,00:26,N,nominal,2.0NRT,286.65,7.96,D
66.95328,75.53849,341.54,0.49,0.65,2026-07-29,00:26,N,nominal,2.0NRT,283.96,5.16,D
66.24898,76.82575,341.51,0.57,0.69,2026-07-29,00:26,N,nominal,2.0NRT,287.04,6.4,D
66.50936,76.47158,330.61,0.54,0.68,2026-07-29,00:26,N,nominal,2.0NRT,284.99,4,D
67.17931,56.62698,325,0.45,0.47,2026-07-29,00:26,N,nominal,2.0NRT,287.01,2.73,D
