latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
57.94466,60.05671,303.65,1,1,2026-03-14,00:11,A,56,6.1NRT,271.83,11.01,N
51.61016,52.94404,304.11,1.12,1.06,2026-03-14,00:11,A,29,6.1NRT,268.28,12.9,N
51.61207,52.92838,307.5,1.12,1.06,2026-03-14,00:11,A,55,6.1NRT,269.12,15.58,N
53.46035,59.03263,304.17,1.03,1.02,2026-03-14,00:11,A,59,6.1NRT,269.26,12.73,N
56.86323,59.90203,323.33,1.01,1,2026-03-14,00:11,A,100,6.1NRT,270.8,27.47,N
34.89752,43.81842,307.35,1.87,1.34,2026-03-14,00:18,A,47,6.1NRT,281.07,26.41,N
34.89952,43.79851,303.01,1.87,1.34,2026-03-14,00:18,A,21,6.1NRT,280.22,19.98,N
34.89389,43.80507,304.53,1.87,1.34,2026-03-14,00:18,A,60,6.1NRT,280,23.38,N
34.90561,43.8068,306.27,1.87,1.34,2026-03-14,00:18,A,67,6.1NRT,281.02,25.88,N
30.95011,49.88202,300.61,1.01,1,2026-03-14,00:20,A,31,6.1NRT,278.1,7.03,N
30.77303,49.77023,301.66,1.01,1,2026-03-14,00:20,A,43,6.1NRT,284.7,6.84,N
31.00626,48.14438,306.25,1.02,1.01,2026-03-14,00:20,A,67,6.1NRT,273.78,11.31,N
30.71478,49.54388,303.12,1,1,2026-03-14,00:20,A,53,6.1NRT,285.91,7.43,N
30.5665,50.01943,303.11,1.02,1.01,2026-03-14,00:20,A,53,6.1NRT,286.27,7.67,N
30.86183,47.92329,328.02,1.03,1.02,2026-03-14,00:20,A,100,6.1NRT,287.83,29.97,N
30.75411,48.27962,358.12,1.02,1.01,2026-03-14,00:20,A,100,6.1NRT,290.67,85.26,N
30.75262,48.28986,332.62,1.02,1.01,2026-03-14,00:20,A,100,6.1NRT,289.58,34.96,N
30.39545,50.61955,303.86,1.05,1.02,2026-03-14,00:20,A,57,6.1NRT,284.54,9.13,N
30.39595,49.86663,312.98,1.01,1.01,2026-03-14,00:20,A,86,6.1NRT,287.88,13.95,N
25.46681,50.79415,304.34,1.22,1.1,2026-03-14,00:20,A,60,6.1NRT,289.05,9.32,N
25.64019,50.16931,303.72,1.13,1.06,2026-03-14,00:20,A,57,6.1NRT,288.93,8.73,N
-24.77257,-42.72056,313.27,1.35,1.15,2026-03-14,00:20,T,82,6.1NRT,290.46,15.62,N
-24.78273,-42.7185,310.48,1.35,1.15,2026-03-14,00:20,T,71,6.1NRT,290.34,12.1,N
30.43714,49.11065,300.02,1,1,2026-03-14,00:20,A,10,6.1NRT,288.77,4.83,N
30.68524,47.32871,302.93,1.07,1.03,2026-03-14,00:20,A,52,6.1NRT,287.64,7.25,N
30.5623,47.35527,304.98,1.07,1.03,2026-03-14,00:20,A,62,6.1NRT,285.95,9.33,N
30.52707,47.61069,304.56,1.05,1.02,2026-03-14,00:20,A,61,6.1NRT,287.6,8.27,N
29.01226,47.74264,301.28,1.02,1.01,2026-03-14,00:20,A,39,6.1NRT,285.6,6.84,N
29.01081,47.75274,308.57,1.02,1.01,2026-03-14,00:20,A,75,6.1NRT,285.97,11.39,N
29.02366,47.59909,304.5,1.03,1.01,2026-03-14,00:20,A,60,6.1NRT,285.58,8.73,N
28.49815,49.71598,333.75,1.03,1.01,2026-03-14,00:20,A,100,6.1NRT,291.94,35.86,N
27.76871,52.16754,301.92,1.33,1.14,2026-03-14,00:20,A,45,6.1NRT,290.46,7.78,N
27.76648,52.17997,301.07,1.34,1.15,2026-03-14,00:20,A,37,6.1NRT,290.43,7.2,N
27.72445,52.1798,324.81,1.34,1.15,2026-03-14,00:20,A,100,6.1NRT,294.04,33.33,N
27.52064,52.62764,303.17,1.44,1.19,2026-03-14,00:20,A,21,6.1NRT,290.92,8.91,N
27.50772,52.6401,318.85,1.44,1.19,2026-03-14,00:20,A,98,6.1NRT,292.16,28.78,N
27.50533,52.65323,304,1.44,1.19,2026-03-14,00:20,A,29,6.1NRT,291.71,9.94,N
27.01677,49.58179,306.97,1.05,1.02,2026-03-14,00:20,A,70,6.1NRT,291.39,8.56,N
25.54017,53.14417,305.96,1.7,1.28,2026-03-14,00:20,A,40,6.1NRT,292.73,13.38,N
25.53714,53.16031,311.92,1.7,1.28,2026-03-14,00:20,A,77,6.1NRT,292.89,22.37,N
25.92939,49.70973,301.77,1.08,1.04,2026-03-14,00:20,A,44,6.1NRT,288.77,6.85,N
-23.5556,-52.50623,303.68,1.81,1.32,2026-03-14,00:20,T,56,6.1NRT,292.98,12.11,N
-23.70701,-58.15894,309.81,4.75,1.99,2026-03-14,00:20,T,78,6.1NRT,294.19,79.81,N
-23.70744,-58.16595,310.32,4.75,1.99,2026-03-14,00:20,T,80,6.1NRT,294.18,84.12,N
-20.23733,-40.24506,309.05,2.45,1.51,2026-03-14,00:20,T,76,6.1NRT,279.51,33.52,N
32.99362,46.18906,300.05,1.27,1.12,2026-03-14,00:20,A,13,6.1NRT,284.19,9.43,N
32.24108,51.43827,321.92,1.07,1.03,2026-03-14,00:20,A,100,6.1NRT,276.36,26.98,N
32.35809,47.71835,300.68,1.07,1.03,2026-03-14,00:20,A,32,6.1NRT,285.35,6.9,N
32.35958,47.70732,302.68,1.07,1.03,2026-03-14,00:20,A,51,6.1NRT,285.83,8.09,N
32.06824,49.10976,301.18,1,1,2026-03-14,00:20,A,38,6.1NRT,284.53,6.55,N
31.41238,48.65604,305.74,1.01,1,2026-03-14,00:20,A,65,6.1NRT,286.3,8.71,N
31.1374,49.32125,319.64,1,1,2026-03-14,00:20,A,99,6.1NRT,286.15,19.7,N
31.13587,49.33136,306.62,1,1,2026-03-14,00:20,A,69,6.1NRT,284.79,9.5,N
31.27743,48.11853,336.82,1.03,1.01,2026-03-14,00:20,A,100,6.1NRT,283.78,42.8,N
25.48758,50.13146,305.05,1.13,1.06,2026-03-14,00:20,A,63,6.1NRT,288.15,10.13,N
25.48576,50.14228,301.53,1.13,1.06,2026-03-14,00:20,A,42,6.1NRT,288.08,7.71,N
32.06975,49.09952,337.16,1,1,2026-03-14,00:20,A,100,6.1NRT,285.52,41.71,N
24.11072,52.75843,306.1,1.71,1.28,2026-03-14,00:20,A,67,6.1NRT,291.57,14.76,N
33.22012,44.76854,301.47,1.54,1.22,2026-03-14,00:20,A,41,6.1NRT,280.59,15.31,N
32.2429,51.42733,332.81,1.07,1.03,2026-03-14,00:20,A,100,6.1NRT,279.94,41.43,N
-11.94359,-41.35528,301.51,2.97,1.64,2026-03-14,00:22,T,42,6.1NRT,288.58,24.28,N
-11.7814,-47.09002,313.09,1.16,1.07,2026-03-14,00:22,T,86,6.1NRT,288.32,14.33,N
-11.78289,-47.10035,313.58,1.16,1.07,2026-03-14,00:22,T,87,6.1NRT,289.21,14.58,N
-11.78703,-47.09386,307.05,1.16,1.07,2026-03-14,00:22,T,70,6.1NRT,287.88,8.97,N
-17.2093,-55.18998,305.74,2.35,1.48,2026-03-14,00:22,T,60,6.1NRT,291.39,17.74,N
-11.939,-41.32816,330.92,2.99,1.64,2026-03-14,00:22,T,100,6.1NRT,288.76,151.94,N
11.45076,36.31845,301.73,3.13,1.68,2026-03-14,00:24,A,42,6.1NRT,290.22,26.39,N
11.45371,36.29995,309.92,3.14,1.68,2026-03-14,00:24,A,79,6.1NRT,291.12,52.15,N
11.45388,36.29366,305.54,3.14,1.68,2026-03-14,00:24,A,65,6.1NRT,290.68,37.26,N
0.90505,-60.31103,305.63,3.18,1.69,2026-03-14,00:26,T,65,6.1NRT,289.76,29.24,N
0.90527,-60.3059,308.68,3.18,1.69,2026-03-14,00:26,T,75,6.1NRT,289.79,39.22,N
0.90911,-60.2836,303.53,3.16,1.68,2026-03-14,00:26,T,56,6.1NRT,289.76,22.23,N
9.64722,-63.5604,303.22,4.03,1.86,2026-03-14,00:28,T,29,6.1NRT,285.15,50.78,N
9.64046,-63.55296,308.71,4.03,1.86,2026-03-14,00:28,T,71,6.1NRT,286.56,73.92,N
8.91937,-63.95829,304.58,4.47,1.94,2026-03-14,00:28,T,61,6.1NRT,288.59,42.33,N
8.93274,-63.95592,302.1,4.47,1.94,2026-03-14,00:28,T,47,6.1NRT,288.62,28.72,N
9.72956,-63.46869,302.55,3.95,1.85,2026-03-14,00:28,T,31,6.1NRT,288.13,42.42,N
9.63459,-63.58811,301.39,4.05,1.87,2026-03-14,00:28,T,10,6.1NRT,282.26,43.81,N
45.70835,129.90625,303.59,1.11,1.05,2026-03-14,01:02,T,39,6.1NRT,276.94,8.43,D
41.35294,122.68187,320.51,1.14,1.06,2026-03-14,01:05,T,80,6.1NRT,275.71,23.8,D
41.2498,122.69582,300.65,1.14,1.06,2026-03-14,01:05,T,38,6.1NRT,271.14,8.48,D
43.74847,124.8365,300.04,1.04,1.02,2026-03-14,01:05,T,17,6.1NRT,275.43,5.14,D
43.6896,125.21748,304.77,1.02,1.01,2026-03-14,01:05,T,34,6.1NRT,276.76,5.41,D
43.67756,125.23981,304.18,1.02,1.01,2026-03-14,01:05,T,32,6.1NRT,277.84,4.93,D
43.67593,125.25206,300.71,1.02,1.01,2026-03-14,01:05,T,21,6.1NRT,277.47,3.41,D
43.69697,124.95229,308.62,1.03,1.01,2026-03-14,01:05,T,67,6.1NRT,274.4,11.02,D
43.70102,124.84407,301.01,1.04,1.02,2026-03-14,01:05,T,33,6.1NRT,272.92,5.27,D
43.69215,124.84193,301.09,1.04,1.02,2026-03-14,01:05,T,33,6.1NRT,271.73,5.29,D
43.69296,124.76499,317.66,1.04,1.02,2026-03-14,01:05,T,44,6.1NRT,275.52,16.02,D
43.69134,124.7775,319.04,1.04,1.02,2026-03-14,01:05,T,64,6.1NRT,275.73,18.01,D
43.73064,124.39664,300.73,1.06,1.03,2026-03-14,01:05,T,41,6.1NRT,276.64,6.15,D
