latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-3.10269,130.38672,313.46,1.02,1.01,2026-08-25,00:01,T,47,6.1NRT,297.08,6.54,D
-1.45497,127.443,317.76,1.19,1.08,2026-08-25,00:01,T,0,6.1NRT,298.55,13.68,D
-1.46454,127.44184,314.31,1.19,1.08,2026-08-25,00:01,T,0,6.1NRT,297.99,9.67,D
-2.95406,132.99474,324.59,1.33,1.14,2026-08-25,00:01,T,82,6.1NRT,294.71,24.67,D
-2.9625,132.98174,327.06,1.33,1.14,2026-08-25,00:01,T,55,6.1NRT,297.34,26.95,D
-2.96414,132.99336,337.08,1.33,1.14,2026-08-25,00:01,T,90,6.1NRT,295.15,47.17,D
-2.97092,132.96872,325.92,1.33,1.14,2026-08-25,00:01,T,29,6.1NRT,296.17,25.11,D
-3.29019,134.08868,327.85,1.61,1.25,2026-08-25,00:01,T,85,6.1NRT,293.19,50.73,D
-3.29238,134.10452,320.64,1.62,1.25,2026-08-25,00:01,T,79,6.1NRT,293.25,35.13,D
-3.40809,134.11421,309.17,1.62,1.25,2026-08-25,00:01,T,39,6.1NRT,294.07,12.08,D
-3.41208,134.14272,309.76,1.63,1.26,2026-08-25,00:01,T,44,6.1NRT,294.21,13.25,D
-4.27812,139.26328,316.52,4.41,1.93,2026-08-25,00:01,T,77,6.1NRT,286.61,139.2,D
-2.07953,132.45982,309.86,1.2,1.09,2026-08-25,00:01,T,62,6.1NRT,296.02,7.31,D
-4.28211,139.25703,312.6,4.41,1.93,2026-08-25,00:01,T,73,6.1NRT,287.05,110.94,D
-3.08773,130.09056,309.83,1.01,1,2026-08-25,00:01,T,53,6.1NRT,298.94,4.57,D
-2.92655,128.90152,316.58,1.02,1.01,2026-08-25,00:01,T,67,6.1NRT,298.59,10.35,D
-3.14835,130.38919,309.07,1.02,1.01,2026-08-25,00:01,T,23,6.1NRT,296.33,4.02,D
-3.14964,130.39825,311.8,1.02,1.01,2026-08-25,00:01,T,48,6.1NRT,298.06,5.77,D
-3.17002,130.47749,311.99,1.02,1.01,2026-08-25,00:01,T,53,6.1NRT,297.89,6.65,D
-0.57419,132.00066,308.23,1.1,1.05,2026-08-25,00:01,T,49,6.1NRT,297.54,5.49,D
-3.1789,130.47615,312.71,1.02,1.01,2026-08-25,00:01,T,62,6.1NRT,296.97,7.39,D
-3.11449,129.88344,311.72,1,1,2026-08-25,00:01,T,69,6.1NRT,299.06,6.61,D
-3.16082,130.20946,308.07,1.01,1.01,2026-08-25,00:01,T,62,6.1NRT,296.36,5.22,D
-4.30296,138.70026,322.74,3.97,1.85,2026-08-25,00:01,T,71,6.1NRT,286.17,164.15,D
-3.95694,135.60757,302.13,2.19,1.43,2026-08-25,00:01,T,51,6.1NRT,290.08,16.64,D
-3.25307,127.90102,305.14,1.08,1.04,2026-08-25,00:01,T,42,6.1NRT,293.07,4.7,D
-3.09891,126.62422,320.45,1.26,1.12,2026-08-25,00:01,T,64,6.1NRT,297.84,18.1,D
-3.27549,126.98193,309.8,1.2,1.09,2026-08-25,00:01,T,65,6.1NRT,297.89,7.46,D
-3.26855,126.79941,315.49,1.23,1.1,2026-08-25,00:01,T,35,6.1NRT,294.95,12.78,D
-3.47152,126.99445,309.79,1.19,1.08,2026-08-25,00:01,T,56,6.1NRT,296.42,6.93,D
-0.95102,133.44453,309.02,1.34,1.15,2026-08-25,00:01,T,67,6.1NRT,293.53,12.73,D
-1.36667,134.21744,310.9,1.54,1.22,2026-08-25,00:01,T,42,6.1NRT,298.35,10.96,D
-1.36461,133.85054,313.44,1.45,1.19,2026-08-25,00:01,T,41,6.1NRT,291.8,16.68,D
-3.41011,134.12868,320.27,1.63,1.26,2026-08-25,00:01,T,79,6.1NRT,294.61,31.55,D
-14.1593,129.49112,309.31,1.13,1.06,2026-08-25,00:03,T,39,6.1NRT,297.13,5.63,D
-13.72801,130.24844,315.8,1.23,1.1,2026-08-25,00:03,T,66,6.1NRT,299.67,8.7,D
-13.75603,130.21552,315.73,1.22,1.1,2026-08-25,00:03,T,19,6.1NRT,298.55,7.87,D
-13.76577,130.21428,320.46,1.22,1.1,2026-08-25,00:03,T,70,6.1NRT,298.55,14.07,D
-14.34072,133.46404,313.43,2.12,1.41,2026-08-25,00:03,T,51,6.1NRT,300.34,16.47,D
-14.34219,133.45731,313.59,2.12,1.41,2026-08-25,00:03,T,61,6.1NRT,300.56,17.61,D
-11.40818,132.6002,313.85,1.65,1.26,2026-08-25,00:03,T,0,6.1NRT,297.77,13.81,D
-11.53359,130.55588,311.54,1.21,1.09,2026-08-25,00:03,T,58,6.1NRT,298.01,7.12,D
-12.26875,131.18065,313.24,1.34,1.15,2026-08-25,00:03,T,54,6.1NRT,298.93,9.21,D
-12.27033,131.19276,325.93,1.35,1.15,2026-08-25,00:03,T,76,6.1NRT,297.78,28.42,D
