latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
28.91757,19.77397,299.52,0.59,0.53,2026-05-28,00:01,N,nominal,2.0NRT,287.28,0.72,N
29.78708,17.55444,299.98,0.41,0.6,2026-05-28,00:01,N,nominal,2.0NRT,285.5,0.5,N
29.21379,21.64524,336.19,0.46,0.47,2026-05-28,00:01,N,nominal,2.0NRT,291.03,4.53,N
29.19091,21.5274,328.05,0.46,0.47,2026-05-28,00:01,N,nominal,2.0NRT,291.03,1.97,N
29.1924,21.42892,331.17,0.47,0.48,2026-05-28,00:01,N,nominal,2.0NRT,290.38,3.41,N
29.48575,17.93538,298.94,0.38,0.59,2026-05-28,00:01,N,nominal,2.0NRT,285.36,0.27,N
29.44457,17.96734,315.96,0.38,0.59,2026-05-28,00:01,N,nominal,2.0NRT,286.39,0.45,N
29.43908,17.96675,296.36,0.38,0.59,2026-05-28,00:01,N,nominal,2.0NRT,285.03,0.45,N
29.23234,19.69614,353.46,0.6,0.53,2026-05-28,00:01,N,nominal,2.0NRT,288.93,21.39,N
29.22741,19.69556,310.44,0.6,0.53,2026-05-28,00:01,N,nominal,2.0NRT,285.63,3.32,N
29.05566,20.78155,320.12,0.51,0.5,2026-05-28,00:01,N,nominal,2.0NRT,288.97,2.65,N
29.03675,20.78446,340.81,0.51,0.49,2026-05-28,00:01,N,nominal,2.0NRT,291.05,9.17,N
28.83559,22.11986,303.57,0.43,0.46,2026-05-28,00:01,N,nominal,2.0NRT,290.74,0.71,N
28.83463,22.12872,304.07,0.43,0.46,2026-05-28,00:01,N,nominal,2.0NRT,289.64,0.78,N
28.82049,22.25989,318.87,0.42,0.45,2026-05-28,00:01,N,nominal,2.0NRT,289.48,2.55,N
28.75737,22.79346,300.57,0.39,0.44,2026-05-28,00:01,N,nominal,2.0NRT,290.43,0.32,N
28.78393,22.46023,302.8,0.41,0.45,2026-05-28,00:01,N,nominal,2.0NRT,289.99,0.29,N
28.91153,20.9684,324.24,0.5,0.49,2026-05-28,00:01,N,nominal,2.0NRT,290.45,1.8,N
28.90404,20.95167,324.17,0.5,0.49,2026-05-28,00:01,N,nominal,2.0NRT,289.61,1.84,N
28.89845,20.96144,299.22,0.5,0.49,2026-05-28,00:01,N,nominal,2.0NRT,289.17,0.89,N
28.87194,21.22027,317.03,0.48,0.48,2026-05-28,00:01,N,nominal,2.0NRT,290.2,1.38,N
29.07224,19.05786,367,0.33,0.55,2026-05-28,00:01,N,high,2.0NRT,290.91,23.83,N
29.07195,19.06125,338.19,0.33,0.55,2026-05-28,00:01,N,nominal,2.0NRT,295.85,10.04,N
29.07166,19.06465,331.23,0.32,0.55,2026-05-28,00:01,N,nominal,2.0NRT,288.56,10.04,N
28.89392,20.96082,338.94,0.5,0.49,2026-05-28,00:01,N,nominal,2.0NRT,292.22,4.84,N
28.88938,20.96021,331.43,0.5,0.49,2026-05-28,00:01,N,nominal,2.0NRT,288.99,4.84,N
28.83015,21.31985,323.44,0.47,0.48,2026-05-28,00:01,N,nominal,2.0NRT,290.29,2.01,N
28.81589,21.28302,339.83,0.48,0.48,2026-05-28,00:01,N,nominal,2.0NRT,290.94,5.93,N
28.69683,22.37434,330.71,0.41,0.45,2026-05-28,00:01,N,nominal,2.0NRT,290.79,2.77,N
28.69268,22.37373,342.04,0.41,0.45,2026-05-28,00:01,N,nominal,2.0NRT,289.91,4.72,N
28.6955,22.37527,339.85,0.41,0.45,2026-05-28,00:01,N,nominal,2.0NRT,292.04,7.83,N
28.81744,21.28572,310.56,0.48,0.48,2026-05-28,00:01,N,nominal,2.0NRT,289.64,2,N
28.813,21.28511,338.05,0.48,0.48,2026-05-28,00:01,N,nominal,2.0NRT,289.6,2,N
28.77082,21.42756,310.61,0.47,0.47,2026-05-28,00:01,N,nominal,2.0NRT,289.66,0.75,N
28.67846,21.45869,307.93,0.46,0.47,2026-05-28,00:01,N,nominal,2.0NRT,290.17,1.21,N
28.6826,21.46227,324.57,0.46,0.47,2026-05-28,00:01,N,nominal,2.0NRT,290.99,1.56,N
28.67821,21.46167,303.52,0.46,0.47,2026-05-28,00:01,N,nominal,2.0NRT,290.02,1.56,N
27.16929,31.01387,315.9,0.44,0.38,2026-05-28,00:01,N,nominal,2.0NRT,297.2,2.21,N
28.82879,17.3822,299.26,0.41,0.61,2026-05-28,00:01,N,nominal,2.0NRT,286.25,0.38,N
28.8256,17.38388,311.38,0.41,0.61,2026-05-28,00:01,N,nominal,2.0NRT,286.45,1,N
